PLAYER,ACTUAL_POINTS
Rory McIlroy,4.0
Viktor Hovland,3.5
Tyrrell Hatton,3.5
Jon Rahm,3.0
Tommy Fleetwood,3.0
Robert MacIntyre,2.5
Ludvig Åberg,2.0
Justin Rose,1.5
Shane Lowry,1.5
Matt Fitzpatrick,1.0
Sepp Straka,1.0
Nicolai Hojgaard,0.5
