PLAYER,ACTUAL_POINTS
Sam Burns,1
Patrick Cantlay,1.5
Bryson DeChambeau,1.5
Harris English,0.5
Ben Griffin,1
Russell Henley,0.5
Collin Morikawa,0.5
Xander Schauffele,3
Scottie Scheffler,1
J. J. Spaun,2
Justin Thomas,2
Cameron Young,3
