PLAYER,ACTUAL_POINTS
Sam Burns,1.0
Patrick Cantlay,2.0
Wyndham Clark,1.5
Rickie Fowler,0.0
Brian Harman,2.0
Max Homa,3.5
Brooks Koepka,1.5
Collin Morikawa,1.0
Xander Schauffele,1.0
Scottie Scheffler,1.0
Jordan Spieth,1.0
Justin Thomas,1.5
