PLAYER,ACTUAL_POINTS
Ludvig Åberg,2
Matt Fitzpatrick,2.5
Tommy Fleetwood,4
Tyrrell Hatton,3.5
Rasmus Højgaard,0
Viktor Hovland,1.5
Shane Lowry,2
Robert MacIntyre,1.5
Rory McIlroy,3.5
Jon Rahm,3
Justin Rose,2
Sepp Straka,1
