RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
157,0,33408,Tyson Alexander,56.96%,352,618
158,0,59018,Ryan Gerard,56.92%,222,390
159,0,46601,Trey Mullinax,56.87%,265,466
160,0,33204,Shane Lowry,56.65%,213,376
161,0,19803,Ryan Armour,56.64%,290,512
162,0,31323,Gary Woodland,56.58%,271,479
163,0,37338,Zecheng Dou,56.36%,319,566
164,0,55708,Hayden Buckley,56.33%,267,474
165,0,29221,Webb Simpson,56.27%,211,375
166,0,48119,Ben Taylor,56.25%,378,672
167,0,36326,David Lipsky,56.22%,339,603
168,0,48699,Callum Tarren,56.08%,323,576
169,0,50493,Justin Suh,55.86%,386,691
170,0,29420,Billy Horschel,55.80%,231,414
171,0,49453,Trevor Cone,55.58%,249,448
172,0,55454,Carl Yuan,55.56%,275,495
173,0,51950,Max McGreevy,55.39%,334,603
174,0,27129,Luke List,55.13%,290,526
175,0,27554,Scott Harrington,54.96%,266,484
176,0,49960,Sepp Straka,54.75%,288,526
177,0,47995,Davis Riley,54.65%,341,624
178,0,52411,Kyle Westmoreland,54.51%,260,477
179,0,48867,Matti Schmid,54.36%,243,447
180,0,32662,Michael Gligic,54.35%,256,471
181,0,28420,Ryan Brehm,54.10%,297,549
181,0,31557,Jim Herman,54.10%,244,451
183,0,45242,Kevin Yu,54.00%,189,350
184,0,27974,Sung Kang,53.98%,156,289
185,0,27095,Nick Watney,53.60%,268,500
186,0,32448,James Hahn,53.51%,244,456
187,0,53165,Doc Redman,53.32%,225,422
188,0,52453,Nicolai Hojgaard,53.31%,137,257
189,0,40006,Erik van Rooyen,53.15%,236,444
190,0,52372,Cameron Champ,52.90%,228,431
191,0,56762,Will Gordon,52.14%,304,583
192,0,51414,Brent Grant,50.84%,243,478
193,0,51491,Brandon Matthews,50.53%,191,378
