RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,47504,Sam Burns,0.983,82.585,84
2,0,55789,Taylor Montgomery,0.917,47.670,52
3,0,57975,Harry Hall,0.881,73.979,84
4,0,47993,Denny McCarthy,0.679,55.018,81
5,0,51349,Nico Echavarria,0.666,45.273,68
6,0,54421,Garrick Higgo,0.661,20.500,31
7,0,57366,Cameron Young,0.642,52.018,81
8,0,37275,Sam Ryder,0.626,47.566,76
9,0,28237,Rory McIlroy,0.597,29.844,50
10,0,52666,Sami Valimaki,0.548,37.799,69
11,0,27649,Brandt Snedeker,0.531,29.727,56
12,0,49590,Frankie Capan III,0.488,27.805,57
13,0,45522,Christiaan Bezuidenhout,0.458,35.271,77
14,0,47420,Jake Knapp,0.456,33.720,74
15,0,24024,Zach Johnson,0.446,17.405,39
16,0,34256,Andrew Putnam,0.439,27.210,62
17,0,59141,Matt McCarty,0.435,31.330,72
18,0,34099,Harris English,0.418,31.774,76
19,0,54591,Ben Griffin,0.407,38.646,95
20,0,30911,Tommy Fleetwood,0.404,26.693,66
21,0,60004,Jacob Bridgeman,0.388,33.337,86
22,0,46046,Scottie Scheffler,0.382,27.512,72
23,0,52144,Braden Thornberry,0.380,17.471,46
24,0,23108,Matt Kuchar,0.370,21.104,57
25,0,33968,Thorbjørn Olesen,0.352,23.593,67
26,0,46442,Maverick McNealy,0.350,29.746,85
27,0,50484,Hayden Springer,0.345,19.336,56
28,0,33448,Justin Thomas,0.340,23.772,70
29,0,47917,Takumi Kanaya,0.333,18.332,55
30,0,40098,Matt Fitzpatrick,0.326,21.510,66
31,0,48867,Matti Schmid,0.304,18.553,61
32,0,36824,Paul Peterson,0.295,14.433,49
33,0,31646,Emiliano Grillo,0.286,22.603,79
33,0,35658,Kris Ventura,0.286,19.425,68
35,0,56630,Akshay Bhatia,0.277,21.905,79
36,0,35461,Beau Hossler,0.263,21.049,80
37,0,51977,Max Greyserman,0.262,19.923,76
38,0,51894,Vince Whaley,0.261,19.832,76
39,0,36799,Stephan Jaeger,0.251,19.847,79
39,0,52215,Robert MacIntyre,0.251,19.573,78
41,0,49960,Sepp Straka,0.237,16.112,68
42,0,54607,Danny Walker,0.235,11.984,51
43,0,58605,Quade Cummins,0.234,14.495,62
44,0,46443,Brian Campbell,0.231,12.678,55
45,0,31323,Gary Woodland,0.229,16.515,72
46,0,47591,Eric Cole,0.222,20.637,93
47,0,34098,Russell Henley,0.220,14.526,66
48,0,47679,Victor Perez,0.215,15.675,73
49,0,51997,Andrew Novak,0.202,16.322,81
50,0,39327,Ben Silverman,0.195,12.314,63
51,0,29936,Ryan Fox,0.193,12.371,64
52,0,47983,Chad Ramey,0.191,12.397,65
53,0,52453,Nicolai Højgaard,0.190,7.992,42
54,0,39335,Kevin Roy,0.186,12.298,66
55,0,29535,Brice Garnett,0.182,11.073,61
56,0,36801,Mark Hubbard,0.176,14.073,80
56,0,63121,William Mouw,0.176,9.332,53
58,0,28089,Jason Day,0.171,9.056,53
58,0,54576,Patrick Fishburn,0.171,11.803,69
60,0,37378,Min Woo Lee,0.161,9.012,56
61,0,35706,Niklas Norgaard,0.160,7.045,44
62,0,22405,Justin Rose,0.156,7.627,49
63,0,35450,Patrick Cantlay,0.155,10.245,66
63,0,47995,Davis Riley,0.155,10.262,66
65,0,34046,Jordan Spieth,0.152,9.133,60
66,0,51766,Wyndham Clark,0.142,9.348,66
67,0,39997,Corey Conners,0.133,9.728,73
68,0,25493,Nick Taylor,0.128,9.240,72
69,0,33653,Thomas Detry,0.126,9.430,75
70,0,34021,Bud Cauley,0.118,7.645,65
71,0,63343,Aldrich Potgieter,0.116,5.114,44
72,0,39324,J.J. Spaun,0.113,8.580,76
73,0,59866,Nick Dunlap,0.112,7.378,66
74,0,39859,Cristobal Del Solar,0.107,5.674,53
75,0,35310,Lanto Griffin,0.095,5.508,58
76,0,39971,Sungjae Im,0.094,7.747,82
77,0,32102,Rickie Fowler,0.085,6.005,71
77,0,27770,Camilo Villegas,0.085,4.739,56
79,0,55165,Noah Goodwin,0.082,4.365,53
80,0,55623,Kaito Onishi,0.077,3.072,40
81,0,39977,Max Homa,0.073,4.737,65
82,0,35506,Mackenzie Hughes,0.071,5.786,81
83,0,55893,Sam Stevens,0.059,5.806,98
84,0,54628,Lee Hodges,0.056,3.493,62
85,0,48153,Matthieu Pavon,0.053,3.720,70
86,0,52955,Ludvig Åberg,0.051,3.069,60
86,0,33399,Adam Hadwin,0.051,3.890,76
88,0,46340,Alex Smalley,0.043,2.996,70
89,0,49771,J.T. Poston,0.040,3.353,83
89,0,36699,Patrick Rodgers,0.040,3.363,84
91,0,27644,Brian Harman,0.039,3.073,78
92,0,46601,Trey Mullinax,0.038,2.121,56
93,0,48887,Matt Wallace,0.036,1.964,55
