RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
94,0,60019,Jackson Suber,0.035,2.114,61
95,0,34466,Peter Malnati,0.034,2.022,60
96,0,33413,Ben Martin,0.031,1.366,44
97,0,40250,Taylor Pendrith,0.028,2.180,77
98,0,50582,Jeremy Paul,0.023,1.262,54
99,0,45242,Kevin Yu,0.013,1.026,78
100,0,33199,Matteo Manassero,0.012,0.479,39
101,0,59095,Chris Gotterup,0.004,0.277,72
102,0,33597,Harry Higgs,0.002,0.107,66
103,0,39975,Michael Kim,-0.003,-0.230,83
104,0,47056,Rikuya Hoshino,-0.004,-0.124,30
105,0,45157,Cam Davis,-0.010,-0.574,60
106,0,39546,Keith Mitchell,-0.012,-0.814,69
107,0,57900,Chandler Phillips,-0.015,-0.973,67
108,0,52370,Mason Andersen,-0.018,-0.797,45
109,0,59143,Mac Meissner,-0.032,-2.275,72
110,0,32839,Hideki Matsuyama,-0.034,-2.485,73
111,0,57362,Austin Eckroat,-0.047,-3.488,74
112,0,52686,Rasmus Højgaard,-0.048,-2.583,54
113,0,47347,Adam Schenk,-0.054,-3.290,61
114,0,33141,Keegan Bradley,-0.056,-4.064,73
114,0,57586,Jesper Svensson,-0.056,-4.229,75
116,0,46717,Viktor Hovland,-0.070,-3.970,57
117,0,51950,Max McGreevy,-0.078,-5.460,70
118,0,32070,Rafael Campos,-0.079,-5.318,67
119,0,40162,Justin Lower,-0.085,-5.607,66
120,0,57364,Michael Thorbjornsen,-0.091,-5.892,65
121,0,64693,Matthew Riedel,-0.094,-4.533,48
122,0,24502,Adam Scott,-0.100,-5.825,58
123,0,55182,Tom Kim,-0.103,-7.596,74
124,0,29725,Tony Finau,-0.117,-7.280,62
125,0,52513,Carson Young,-0.120,-7.193,60
126,0,35532,Tom Hoge,-0.122,-9.669,79
127,0,33204,Shane Lowry,-0.123,-7.513,61
128,0,49947,Taylor Moore,-0.124,-8.446,68
129,0,60067,Joe Highsmith,-0.125,-8.736,70
130,0,59836,Pierceson Coody,-0.126,-4.296,34
130,0,28775,Nate Lashley,-0.126,-5.917,47
132,0,46414,Aaron Rai,-0.134,-8.426,63
133,0,59440,Ricky Castillo,-0.136,-8.691,64
134,0,40058,Zac Blair,-0.140,-5.999,43
135,0,40026,Daniel Berger,-0.151,-10.100,67
136,0,27129,Luke List,-0.155,-9.778,63
137,0,47988,Nick Hardy,-0.172,-8.081,47
138,0,51634,Sahith Theegala,-0.180,-10.603,59
139,0,48081,Xander Schauffele,-0.184,-9.549,52
140,0,28252,Seamus Power,-0.201,-13.858,69
141,0,51287,Ryo Hisatsune,-0.205,-15.588,76
142,0,27139,David Skinns,-0.217,-12.783,59
143,0,30163,Henrik Norlander,-0.237,-16.336,69
144,0,34076,Joel Dahmen,-0.241,-14.209,59
145,0,58933,Will Chandler,-0.245,-14.479,59
146,0,50474,Tim Widing,-0.251,-9.044,36
147,0,32757,Patton Kizzire,-0.258,-14.732,57
148,0,66743,Luke Clanton,-0.269,-13.452,50
148,0,48117,Kurt Kitayama,-0.269,-17.992,67
150,0,27064,Jhonattan Vegas,-0.285,-17.682,62
151,0,34587,Chan Kim,-0.294,-18.530,63
152,0,58168,Davis Thompson,-0.297,-24.030,81
153,0,30926,Chris Kirk,-0.301,-21.405,71
154,0,59018,Ryan Gerard,-0.308,-27.072,88
155,0,45523,Thriston Lawrence,-0.312,-12.806,41
156,0,50525,Collin Morikawa,-0.313,-20.684,66
157,0,25900,Lucas Glover,-0.316,-21.139,67
158,0,46646,Antoine Rozner,-0.318,-18.100,57
159,0,36326,David Lipsky,-0.323,-19.395,60
160,0,49453,Trevor Cone,-0.351,-18.613,53
161,0,37455,Si Woo Kim,-0.367,-32.673,89
162,0,56762,Will Gordon,-0.380,-19.011,50
163,0,51690,Taylor Dickson,-0.387,-19.723,51
164,0,40006,Erik van Rooyen,-0.401,-24.481,61
165,0,33948,Byeong Hun An,-0.404,-32.725,81
166,0,54304,Karl Vilips,-0.411,-21.793,53
167,0,51890,Greyson Sigg,-0.454,-27.707,61
168,0,57123,Steven Fisk,-0.471,-29.673,63
169,0,55708,Hayden Buckley,-0.513,-21.020,41
170,0,36884,Ben Kohles,-0.529,-34.391,65
171,0,58619,Kevin Velo,-0.531,-24.978,47
172,0,59160,John Pak,-0.553,-31.522,57
173,0,40115,Adam Svensson,-0.579,-36.448,63
174,0,38991,Alejandro Tosti,-0.580,-24.933,43
175,0,56781,Isaiah Salinda,-0.606,-35.728,59
176,0,60882,Thomas Rosenmueller,-0.611,-34.812,57
177,0,52375,Doug Ghim,-0.808,-59.811,74
178,0,34255,Joseph Bramlett,-0.845,-28.718,34
179,0,23320,Ryan Palmer,-0.871,-36.572,42
180,0,51696,Rico Hoey,-0.970,-73.683,76
