RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,46046,Scottie Scheffler,4.42,1061,240
2,0,48887,Matt Wallace,4.46,928,208
3,0,35450,Patrick Cantlay,4.47,1019,228
3,0,32366,Kevin Chappell,4.47,840,188
3,0,59866,Nick Dunlap,4.47,1038,232
3,0,29725,Tony Finau,4.47,1207,270
7,0,54576,Patrick Fishburn,4.48,1129,252
7,0,51696,Rico Hoey,4.48,1318,294
7,0,50484,Hayden Springer,4.48,1164,260
7,0,45242,Kevin Yu,4.48,1102,246
11,0,51977,Max Greyserman,4.49,1158,258
11,0,50188,S.H. Kim,4.49,1543,344
11,0,27064,Jhonattan Vegas,4.49,1086,242
14,0,52372,Cameron Champ,4.50,895,199
14,0,57975,Harry Hall,4.50,1225,272
14,0,60067,Joe Highsmith,4.50,1143,254
14,0,29420,Billy Horschel,4.50,1070,238
14,0,36801,Mark Hubbard,4.50,1450,322
14,0,40250,Taylor Pendrith,4.50,1116,248
14,0,58168,Davis Thompson,4.50,1315,292
21,0,35461,Beau Hossler,4.51,1298,288
21,0,35506,Mackenzie Hughes,4.51,1352,300
21,0,37378,Min Woo Lee,4.51,1020,226
21,0,59143,Mac Meissner,4.51,1101,244
21,0,39546,Keith Mitchell,4.51,1244,276
21,0,30163,Henrik Norlander,4.51,1002,222
21,0,50095,Austin Smotherman,4.51,807,179
21,0,48319,Tom Whitney,4.51,1109,246
29,0,37212,Paul Barjon,4.52,882,195
29,0,48084,Wesley Bryan,4.52,760,168
29,0,54591,Ben Griffin,4.52,1651,365
29,0,34587,Chan Kim,4.52,1294,286
29,0,48081,Xander Schauffele,4.52,1247,276
29,0,55893,Sam Stevens,4.52,1519,336
29,0,32333,Kevin Tway,4.52,868,192
29,0,40006,Erik van Rooyen,4.52,1211,268
37,0,60004,Jacob Bridgeman,4.53,1241,274
37,0,47504,Sam Burns,4.53,1114,246
37,0,29535,Brice Garnett,4.53,698,154
37,0,52375,Doug Ghim,4.53,1394,308
37,0,35532,Tom Hoge,4.53,1531,338
37,0,37455,Si Woo Kim,4.53,1295,286
37,0,48117,Kurt Kitayama,4.53,1106,244
37,0,50493,Justin Suh,4.53,1151,254
45,0,52955,Ludvig Åberg,4.54,1099,242
45,0,34255,Joseph Bramlett,4.54,1271,280
45,0,35310,Lanto Griffin,4.54,1143,252
45,0,12716,Charley Hoffman,4.54,1090,240
45,0,36799,Stephan Jaeger,4.54,1208,266
45,0,39975,Michael Kim,4.54,1271,280
45,0,52215,Robert MacIntyre,4.54,1027,226
45,0,46414,Aaron Rai,4.54,1263,278
45,0,36699,Patrick Rodgers,4.54,1444,318
45,0,48867,Matti Schmid,4.54,1243,274
45,0,24502,Adam Scott,4.54,972,214
45,0,48699,Callum Tarren,4.54,1099,242
45,0,51634,Sahith Theegala,4.54,1354,298
45,0,33448,Justin Thomas,4.54,1044,230
45,0,54783,Dylan Wu,4.54,1261,278
60,0,33948,Byeong Hun An,4.55,1101,242
60,0,32367,Jorge Campillo,4.55,747,164
60,0,28089,Jason Day,4.55,1100,242
60,0,47663,Kevin Dougherty,4.55,1020,224
60,0,46717,Viktor Hovland,4.55,847,186
60,0,32791,K.H. Lee,4.55,1192,262
60,0,36326,David Lipsky,4.55,1092,240
60,0,28252,Seamus Power,4.55,1365,300
60,0,52513,Carson Young,4.55,1337,294
69,0,40026,Daniel Berger,4.56,1149,252
69,0,32070,Rafael Campos,4.56,940,206
69,0,47591,Eric Cole,4.56,1622,356
69,0,47988,Nick Hardy,4.56,1303,286
69,0,39971,Sungjae Im,4.56,1314,288
69,0,33204,Shane Lowry,4.56,1040,228
69,0,46442,Maverick McNealy,4.56,1374,301
69,0,50525,Collin Morikawa,4.56,1149,252
69,0,51997,Andrew Novak,4.56,1235,271
69,0,23320,Ryan Palmer,4.56,684,150
69,0,47679,Victor Perez,4.56,994,218
69,0,39324,J.J. Spaun,4.56,1203,264
69,0,47483,Will Zalatoris,4.56,1022,224
82,0,56630,Akshay Bhatia,4.57,1279,280
82,0,33141,Keegan Bradley,4.57,1114,244
82,0,39997,Corey Conners,4.57,1260,276
82,0,33653,Thomas Detry,4.57,1006,220
82,0,40162,Justin Lower,4.57,1508,330
82,0,28237,Rory McIlroy,4.57,1014,222
82,0,27349,Alex Noren,4.57,1079,236
82,0,57900,Chandler Phillips,4.57,1275,279
82,0,47995,Davis Riley,4.57,1105,242
82,0,46340,Alex Smalley,4.57,1215,266
82,0,27214,Kevin Streelman,4.57,1087,238
