RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
82,0,31323,Gary Woodland,4.57,1106,242
82,0,57366,Cameron Young,4.57,1189,260
95,0,59836,Pierceson Coody,4.58,1210,264
95,0,45157,Cam Davis,4.58,1155,252
95,0,45609,Tyler Duncan,4.58,1109,242
95,0,57362,Austin Eckroat,4.58,1355,296
95,0,40098,Matt Fitzpatrick,4.58,1045,228
95,0,34563,Chesson Hadley,4.58,1071,234
95,0,32757,Patton Kizzire,4.58,980,214
95,0,33968,Thorbjørn Olesen,4.58,706,154
95,0,49771,J.T. Poston,4.58,1254,274
95,0,39327,Ben Silverman,4.58,1218,266
95,0,52374,Brandon Wu,4.58,1264,276
106,0,29936,Ryan Fox,4.59,1111,242
106,0,59095,Chris Gotterup,4.59,1102,240
106,0,55182,Tom Kim,4.59,1156,252
106,0,27129,Luke List,4.59,1167,254
106,0,32839,Hideki Matsuyama,4.59,1092,238
106,0,32640,Troy Merritt,4.59,1175,256
106,0,49947,Taylor Moore,4.59,1459,318
106,0,22405,Justin Rose,4.59,835,182
114,0,51766,Wyndham Clark,4.60,1058,230
114,0,59442,Parker Coody,4.60,892,194
114,0,51349,Nico Echavarria,4.60,1372,298
114,0,54421,Garrick Higgo,4.60,1232,268
114,0,47420,Jake Knapp,4.60,1136,247
114,0,46113,Ryan McCormick,4.60,1036,225
114,0,48119,Ben Taylor,4.60,976,212
121,0,50497,Adrien Dumont de Chassart,4.61,1170,254
121,0,33399,Adam Hadwin,4.61,1208,262
121,0,47993,Denny McCarthy,4.61,1227,266
121,0,26476,Chez Reavie,4.61,1116,242
121,0,47347,Adam Schenk,4.61,1458,316
121,0,40115,Adam Svensson,4.61,1530,332
121,0,55454,Carl Yuan,4.61,1037,225
128,0,55708,Hayden Buckley,4.62,1127,244
128,0,34099,Harris English,4.62,1358,294
128,0,51287,Ryo Hisatsune,4.62,1304,282
128,0,37275,Sam Ryder,4.62,1237,268
128,0,29221,Webb Simpson,4.62,739,160
128,0,27139,David Skinns,4.62,1303,282
128,0,51894,Vince Whaley,4.62,1182,256
135,0,45522,Christiaan Bezuidenhout,4.63,1172,253
135,0,34021,Bud Cauley,4.63,814,176
135,0,52514,Trace Crowe,4.63,1101,238
135,0,30911,Tommy Fleetwood,4.63,1047,226
135,0,34098,Russell Henley,4.63,1073,232
135,0,30926,Chris Kirk,4.63,1195,258
135,0,28775,Nate Lashley,4.63,1176,254
135,0,36871,Matt NeSmith,4.63,1157,250
135,0,51890,Greyson Sigg,4.63,1194,258
135,0,34046,Jordan Spieth,4.63,995,215
145,0,28420,Ryan Brehm,4.64,1003,216
145,0,32102,Rickie Fowler,4.64,1226,264
145,0,31646,Emiliano Grillo,4.64,1225,264
145,0,39977,Max Homa,4.64,1216,262
145,0,26596,Ryan Moore,4.64,1131,244
145,0,52666,Sami Valimaki,4.64,966,208
151,0,33408,Tyson Alexander,4.65,1191,256
151,0,34076,Joel Dahmen,4.65,1382,297
151,0,54628,Lee Hodges,4.65,1442,310
151,0,51070,Vincent Norrman,4.65,712,153
151,0,29908,C.T. Pan,4.65,870,187
151,0,46441,Robby Shelton,4.65,1208,260
157,0,60767,Blaine Hale Jr.,4.66,905,194
157,0,27644,Brian Harman,4.66,1239,266
157,0,36884,Ben Kohles,4.66,1343,288
157,0,27936,Martin Laird,4.66,1136,244
157,0,48153,Matthieu Pavon,4.66,988,212
157,0,25493,Nick Taylor,4.66,1257,270
163,0,25900,Lucas Glover,4.67,1409,302
163,0,23108,Matt Kuchar,4.67,1140,244
163,0,34256,Andrew Putnam,4.67,1260,270
163,0,30927,Brendon Todd,4.67,1410,302
163,0,38991,Alejandro Tosti,4.67,1084,232
168,0,22371,Aaron Baddeley,4.68,1254,268
168,0,40058,Zac Blair,4.68,1272,272
168,0,24024,Zach Johnson,4.68,749,160
168,0,47983,Chad Ramey,4.68,1320,282
168,0,33486,Roger Sloan,4.68,1115,238
173,0,49960,Sepp Straka,4.70,1157,246
173,0,35617,Martin Trainer,4.70,724,154
175,0,47806,Raul Pereda,4.71,814,173
175,0,27649,Brandt Snedeker,4.71,980,208
177,0,27330,Josh Teater,4.72,906,192
178,0,52453,Nicolai Højgaard,4.73,890,188
178,0,27770,Camilo Villegas,4.73,965,204
180,0,29478,Kevin Kisner,4.74,853,180
180,0,55789,Taylor Montgomery,4.74,933,197
182,0,34466,Peter Malnati,4.75,1159,244
183,0,56149,Wilson Furr,4.76,967,203
184,0,34374,Erik Barnes,4.78,937,196
