RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
66,0,29221,Webb Simpson,60.97%,214,351
66,0,51634,Sahith Theegala,60.97%,328,538
68,0,58168,Davis Thompson,60.83%,309,508
69,0,29535,Brice Garnett,60.80%,152,250
70,0,47504,Sam Burns,60.78%,282,464
71,0,48887,Matt Wallace,60.68%,213,351
72,0,50484,Hayden Springer,60.65%,242,399
73,0,49947,Taylor Moore,60.60%,363,599
74,0,25493,Nick Taylor,60.46%,318,526
75,0,33653,Thomas Detry,60.41%,267,442
75,0,36699,Patrick Rodgers,60.41%,328,543
77,0,54628,Lee Hodges,60.34%,315,522
78,0,23108,Matt Kuchar,60.32%,266,441
78,0,39546,Keith Mitchell,60.32%,260,431
80,0,32757,Patton Kizzire,60.06%,188,313
81,0,45609,Tyler Duncan,60.05%,245,408
81,0,26476,Chez Reavie,60.05%,227,378
83,0,49771,J.T. Poston,59.92%,311,519
84,0,45242,Kevin Yu,59.89%,224,374
85,0,51766,Wyndham Clark,59.81%,250,418
86,0,51696,Rico Hoey,59.77%,263,440
87,0,32791,K.H. Lee,59.69%,271,454
88,0,36799,Stephan Jaeger,59.63%,288,483
88,0,46441,Robby Shelton,59.63%,288,483
90,0,47679,Victor Perez,59.56%,243,408
91,0,32333,Kevin Tway,59.50%,191,321
92,0,30926,Chris Kirk,59.49%,282,474
93,0,47347,Adam Schenk,59.45%,343,577
94,0,50095,Austin Smotherman,59.38%,152,256
95,0,49960,Sepp Straka,59.33%,267,450
96,0,54783,Dylan Wu,59.26%,272,459
97,0,50188,S.H. Kim,59.16%,423,715
98,0,36801,Mark Hubbard,59.08%,335,567
99,0,57366,Cameron Young,59.03%,291,493
100,0,52374,Brandon Wu,59.02%,278,471
101,0,25900,Lucas Glover,58.99%,305,517
102,0,48084,Wesley Bryan,58.82%,160,272
103,0,32070,Rafael Campos,58.77%,201,342
104,0,40250,Taylor Pendrith,58.76%,265,451
105,0,34466,Peter Malnati,58.73%,306,521
106,0,33204,Shane Lowry,58.65%,244,416
107,0,23320,Ryan Palmer,58.63%,163,278
108,0,51287,Ryo Hisatsune,58.61%,262,447
109,0,59095,Chris Gotterup,58.60%,242,413
109,0,52513,Carson Young,58.60%,276,471
111,0,55454,Carl Yuan,58.59%,249,425
112,0,40162,Justin Lower,58.57%,311,531
113,0,48153,Matthieu Pavon,58.55%,226,386
114,0,32366,Kevin Chappell,58.44%,187,320
115,0,34076,Joel Dahmen,58.41%,271,464
115,0,12716,Charley Hoffman,58.41%,243,416
117,0,33948,Byeong Hun An,58.35%,255,437
117,0,32102,Rickie Fowler,58.35%,283,485
117,0,48867,Matti Schmid,58.35%,248,425
120,0,32640,Troy Merritt,58.19%,263,452
121,0,56149,Wilson Furr,58.14%,200,344
122,0,29725,Tony Finau,58.05%,256,441
123,0,51349,Nico Echavarria,58.02%,275,474
124,0,55182,Tom Kim,58.00%,279,481
125,0,47983,Chad Ramey,57.94%,270,466
126,0,55708,Hayden Buckley,57.89%,253,437
127,0,31646,Emiliano Grillo,57.85%,302,522
128,0,35532,Tom Hoge,57.82%,340,588
129,0,27139,David Skinns,57.79%,256,443
130,0,35617,Martin Trainer,57.77%,197,341
131,0,39324,J.J. Spaun,57.76%,242,419
132,0,39975,Michael Kim,57.70%,251,435
133,0,36326,David Lipsky,57.61%,227,394
134,0,33408,Tyson Alexander,57.55%,286,497
135,0,52372,Cameron Champ,57.54%,187,325
136,0,45157,Cam Davis,57.51%,291,506
137,0,47988,Nick Hardy,57.36%,265,462
137,0,47995,Davis Riley,57.36%,269,469
139,0,34563,Chesson Hadley,57.33%,215,375
140,0,60067,Joe Highsmith,57.22%,214,374
141,0,40006,Erik van Rooyen,57.11%,245,429
142,0,52514,Trace Crowe,57.07%,234,410
143,0,52666,Sami Valimaki,57.03%,215,377
144,0,27064,Jhonattan Vegas,56.82%,204,359
145,0,46340,Alex Smalley,56.78%,222,391
146,0,57362,Austin Eckroat,56.75%,311,548
147,0,34374,Erik Barnes,56.57%,211,373
148,0,39997,Corey Conners,56.56%,263,465
149,0,33968,Thorbjørn Olesen,56.55%,177,313
150,0,36871,Matt NeSmith,56.43%,215,381
151,0,33141,Keegan Bradley,56.41%,264,468
152,0,46113,Ryan McCormick,56.36%,195,346
153,0,29478,Kevin Kisner,56.01%,205,366
154,0,27649,Brandt Snedeker,55.94%,212,379
155,0,52453,Nicolai Højgaard,55.87%,200,358
156,0,29936,Ryan Fox,55.86%,267,478
156,0,27129,Luke List,55.86%,248,444
158,0,40026,Daniel Berger,55.84%,220,394
159,0,27214,Kevin Streelman,55.81%,221,396
160,0,54421,Garrick Higgo,55.80%,255,457
161,0,47663,Kevin Dougherty,55.75%,194,348
162,0,50497,Adrien Dumont de Chassart,55.56%,250,450
163,0,37275,Sam Ryder,55.53%,241,434
164,0,33399,Adam Hadwin,55.51%,277,499
165,0,48319,Tom Whitney,55.44%,209,377
166,0,37378,Min Woo Lee,55.23%,227,411
167,0,46717,Viktor Hovland,55.15%,182,330
168,0,59836,Pierceson Coody,55.00%,242,440
169,0,59866,Nick Dunlap,54.99%,237,431
170,0,47420,Jake Knapp,54.60%,255,467
171,0,27330,Josh Teater,54.39%,161,296
172,0,48119,Ben Taylor,54.07%,219,405
173,0,34046,Jordan Spieth,53.95%,232,430
174,0,35310,Lanto Griffin,53.93%,192,356
175,0,36884,Ben Kohles,53.59%,246,459
176,0,50493,Justin Suh,53.53%,235,439
177,0,31323,Gary Woodland,53.50%,260,486
178,0,28420,Ryan Brehm,53.01%,194,366
179,0,48699,Callum Tarren,52.96%,224,423
180,0,38991,Alejandro Tosti,51.84%,225,434
181,0,51070,Vincent Norrman,51.79%,145,280
182,0,27770,Camilo Villegas,51.16%,177,346
183,0,37212,Paul Barjon,50.42%,178,353
184,0,60767,Blaine Hale Jr.,49.85%,162,325
