RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,48081,Xander Schauffele,70.73%,302,427
2,0,32839,Hideki Matsuyama,68.17%,302,443
3,0,27349,Alex Noren,67.26%,265,394
4,0,30163,Henrik Norlander,66.96%,225,336
5,0,46046,Scottie Scheffler,66.18%,227,343
6,0,47993,Denny McCarthy,66.15%,387,585
7,0,30911,Tommy Fleetwood,66.03%,276,418
8,0,34021,Bud Cauley,65.73%,188,286
9,0,50525,Collin Morikawa,65.45%,324,495
10,0,46442,Maverick McNealy,65.16%,346,531
11,0,34098,Russell Henley,65.00%,299,460
12,0,45522,Christiaan Bezuidenhout,64.93%,337,519
13,0,51890,Greyson Sigg,64.87%,253,390
14,0,52215,Robert MacIntyre,64.85%,286,441
15,0,35506,Mackenzie Hughes,64.73%,402,621
16,0,22371,Aaron Baddeley,64.24%,309,481
17,0,28237,Rory McIlroy,64.08%,273,426
18,0,39327,Ben Silverman,64.05%,269,420
19,0,34587,Chan Kim,63.98%,270,422
20,0,28252,Seamus Power,63.96%,355,555
21,0,52955,Ludvig Åberg,63.95%,275,430
22,0,35450,Patrick Cantlay,63.89%,276,432
23,0,54591,Ben Griffin,63.88%,389,609
24,0,34099,Harris English,63.75%,364,571
24,0,28775,Nate Lashley,63.75%,255,400
26,0,39971,Sungjae Im,63.74%,348,546
27,0,37455,Si Woo Kim,63.69%,349,548
28,0,29420,Billy Horschel,63.62%,292,459
29,0,57900,Chandler Phillips,63.44%,328,517
30,0,46414,Aaron Rai,63.18%,278,440
31,0,40058,Zac Blair,63.01%,310,492
32,0,28089,Jason Day,63.00%,286,454
33,0,55893,Sam Stevens,62.95%,333,529
34,0,35461,Beau Hossler,62.88%,293,466
34,0,51997,Andrew Novak,62.88%,271,431
36,0,29908,C.T. Pan,62.87%,215,342
37,0,48117,Kurt Kitayama,62.75%,278,443
38,0,59143,Mac Meissner,62.72%,244,389
39,0,22405,Justin Rose,62.53%,252,403
40,0,57975,Harry Hall,62.40%,302,484
41,0,52375,Doug Ghim,62.28%,279,448
42,0,34256,Andrew Putnam,62.22%,275,442
43,0,39977,Max Homa,62.21%,321,516
44,0,51894,Vince Whaley,62.18%,268,431
45,0,33448,Justin Thomas,62.17%,258,415
46,0,51977,Max Greyserman,62.16%,271,436
47,0,26596,Ryan Moore,62.13%,251,404
48,0,33486,Roger Sloan,62.11%,241,388
49,0,24502,Adam Scott,62.09%,267,430
50,0,30927,Brendon Todd,62.01%,408,658
51,0,59442,Parker Coody,61.90%,208,336
52,0,56630,Akshay Bhatia,61.79%,325,526
53,0,40098,Matt Fitzpatrick,61.76%,281,455
54,0,55789,Taylor Montgomery,61.72%,237,384
55,0,24024,Zach Johnson,61.64%,180,292
56,0,47591,Eric Cole,61.61%,443,719
57,0,27644,Brian Harman,61.50%,329,535
58,0,40115,Adam Svensson,61.44%,384,625
59,0,32367,Jorge Campillo,61.27%,193,315
60,0,60004,Jacob Bridgeman,61.26%,272,444
61,0,54576,Patrick Fishburn,61.23%,199,325
62,0,47806,Raul Pereda,61.22%,221,361
63,0,27936,Martin Laird,61.21%,243,397
64,0,47483,Will Zalatoris,61.17%,252,412
65,0,34255,Joseph Bramlett,61.10%,278,455
