RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
174,0,26596,Ryan Moore,288.3,41516,144
176,0,26476,Chez Reavie,287.8,39140,136
177,0,27770,Camilo Villegas,284.9,32473,114
178,0,24024,Zach Johnson,284.1,27271,96
179,0,22371,Aaron Baddeley,283.4,41088,145
180,0,40058,Zac Blair,283.0,46414,164
181,0,29478,Kevin Kisner,282.8,30542,108
182,0,27649,Brandt Snedeker,281.0,32593,116
183,0,34256,Andrew Putnam,280.8,44368,158
184,0,30927,Brendon Todd,279.8,55120,197
