RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
172,0,27649,Brandt Snedeker,-1.164,-60.512,-68.174,7.658,52
173,0,50497,Adrien Dumont de Chassart,-1.207,-70.023,-54.624,-15.400,58
174,0,48699,Callum Tarren,-1.247,-72.312,-35.841,-36.474,58
175,0,28420,Ryan Brehm,-1.336,-61.462,-44.764,-16.700,46
176,0,51070,Vincent Norrman,-1.374,-63.202,-19.341,-43.863,46
177,0,35617,Martin Trainer,-1.381,-56.624,-70.853,14.228,41
178,0,60767,Blaine Hale Jr.,-1.388,-52.738,-45.625,-7.114,38
179,0,27330,Josh Teater,-1.421,-54.011,-21.246,-32.767,38
180,0,29478,Kevin Kisner,-1.691,-79.488,-84.414,4.924,47
181,0,37212,Paul Barjon,-1.804,-79.355,-76.758,-2.599,44
182,0,34374,Erik Barnes,-1.868,-82.189,-80.938,-1.252,44
183,0,47806,Raul Pereda,-1.879,-67.640,-72.735,5.095,36
184,0,27770,Camilo Villegas,-1.988,-87.482,-55.795,-31.690,44
