RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
50,0,49771,J.T. Poston,23.41%,375,1602,120
51,0,54576,Patrick Fishburn,23.36%,307,1314,1
52,0,39324,J.J. Spaun,23.33%,336,1440,16
53,0,55182,Tom Kim,23.31%,344,1476,117
54,0,35450,Patrick Cantlay,23.27%,289,1242,171
54,0,28237,Rory McIlroy,23.27%,289,1242,134
56,0,39997,Corey Conners,23.24%,364,1566,26
57,0,46340,Alex Smalley,23.22%,326,1404,19
58,0,28089,Jason Day,23.21%,305,1314,164
59,0,33653,Thomas Detry,23.17%,292,1260,166
59,0,35310,Lanto Griffin,23.17%,317,1368,5
61,0,48887,Matt Wallace,23.13%,279,1206,46
62,0,57366,Cameron Young,23.11%,337,1458,116
63,0,37455,Si Woo Kim,23.07%,382,1656,137
64,0,34046,Jordan Spieth,23.02%,290,1260,130
64,0,50493,Justin Suh,23.02%,319,1386,96
66,0,30926,Chris Kirk,22.98%,335,1458,133
67,0,45242,Kevin Yu,22.94%,318,1386,10
68,0,52375,Doug Ghim,22.93%,388,1692,4
69,0,40026,Daniel Berger,22.92%,330,1440,12
70,0,47591,Eric Cole,22.82%,456,1998,174
70,0,54783,Dylan Wu,22.82%,341,1494,74
72,0,59143,Mac Meissner,22.81%,308,1350,34
73,0,45157,Cam Davis,22.78%,328,1440,163
74,0,33399,Adam Hadwin,22.76%,340,1494,151
75,0,47995,Davis Riley,22.73%,311,1368,156
76,0,36699,Patrick Rodgers,22.72%,409,1800,38
77,0,35506,Mackenzie Hughes,22.69%,388,1710,162
78,0,46441,Robby Shelton,22.64%,322,1422,153
79,0,37378,Min Woo Lee,22.62%,285,1260,137
80,0,25900,Lucas Glover,22.58%,378,1674,50
81,0,24502,Adam Scott,22.54%,288,1278,110
82,0,32366,Kevin Chappell,22.52%,227,1008,70
83,0,32640,Troy Merritt,22.51%,312,1386,121
84,0,32070,Rafael Campos,22.50%,243,1080,66
85,0,29535,Brice Garnett,22.45%,194,864,14
85,0,33204,Shane Lowry,22.45%,295,1314,98
85,0,32839,Hideki Matsuyama,22.45%,299,1332,100
88,0,39327,Ben Silverman,22.43%,327,1458,29
89,0,51287,Ryo Hisatsune,22.41%,355,1584,23
90,0,34563,Chesson Hadley,22.38%,282,1260,63
91,0,27936,Martin Laird,22.37%,302,1350,47
92,0,33141,Keegan Bradley,22.36%,318,1422,95
93,0,56630,Akshay Bhatia,22.35%,358,1602,124
93,0,47983,Chad Ramey,22.35%,346,1548,57
95,0,24024,Zach Johnson,22.33%,209,936,115
96,0,52215,Robert MacIntyre,22.30%,301,1350,125
96,0,48319,Tom Whitney,22.30%,285,1278,49
98,0,54421,Garrick Higgo,22.29%,329,1476,80
98,0,47420,Jake Knapp,22.29%,313,1404,136
100,0,47988,Nick Hardy,22.22%,348,1566,22
100,0,29420,Billy Horschel,22.22%,316,1422,105
100,0,48117,Kurt Kitayama,22.22%,316,1422,54
103,0,34255,Joseph Bramlett,22.16%,347,1566,37
104,0,29936,Ryan Fox,22.15%,311,1404,127
104,0,32791,K.H. Lee,22.15%,327,1476,87
106,0,46113,Ryan McCormick,22.14%,255,1152,62
107,0,57362,Austin Eckroat,22.10%,374,1692,117
107,0,46414,Aaron Rai,22.10%,354,1602,9
109,0,40098,Matt Fitzpatrick,22.07%,282,1278,155
110,0,27644,Brian Harman,22.03%,345,1566,131
111,0,27214,Kevin Streelman,21.99%,285,1296,76
112,0,47993,Denny McCarthy,21.97%,344,1566,175
113,0,32333,Kevin Tway,21.94%,237,1080,27
114,0,55789,Taylor Montgomery,21.93%,229,1044,183
115,0,59095,Chris Gotterup,21.92%,292,1332,86
115,0,27349,Alex Noren,21.92%,288,1314,68
117,0,34076,Joel Dahmen,21.86%,362,1656,15
117,0,27129,Luke List,21.86%,303,1386,77
119,0,52374,Brandon Wu,21.83%,330,1512,85
120,0,33486,Roger Sloan,21.82%,271,1242,93
121,0,28252,Seamus Power,21.76%,376,1728,79
122,0,34098,Russell Henley,21.69%,285,1314,150
123,0,33968,Thorbjørn Olesen,21.64%,187,864,158
124,0,27139,David Skinns,21.63%,331,1530,33
125,0,36326,David Lipsky,21.60%,280,1296,68
125,0,49947,Taylor Moore,21.60%,385,1782,108
125,0,52666,Sami Valimaki,21.60%,245,1134,147
128,0,32367,Jorge Campillo,21.58%,202,936,110
129,0,29908,C.T. Pan,21.56%,229,1062,84
130,0,34256,Andrew Putnam,21.49%,321,1494,53
131,0,45522,Christiaan Bezuidenhout,21.46%,309,1440,179
132,0,50497,Adrien Dumont de Chassart,21.43%,297,1386,114
133,0,36884,Ben Kohles,21.41%,343,1602,32
134,0,34099,Harris English,21.39%,358,1674,128
135,0,50095,Austin Smotherman,21.38%,204,954,2
136,0,33408,Tyson Alexander,21.37%,300,1404,169
137,0,47347,Adam Schenk,21.35%,365,1710,144
138,0,31323,Gary Woodland,21.32%,307,1440,113
139,0,48153,Matthieu Pavon,21.23%,256,1206,126
140,0,32102,Rickie Fowler,21.18%,305,1440,149
141,0,56149,Wilson Furr,21.09%,224,1062,104
142,0,28775,Nate Lashley,21.07%,292,1386,35
143,0,47663,Kevin Dougherty,21.03%,246,1170,56
144,0,60767,Blaine Hale Jr.,21.01%,208,990,142
145,0,34021,Bud Cauley,20.99%,204,972,21
146,0,55454,Carl Yuan,20.98%,253,1206,170
147,0,37212,Paul Barjon,20.96%,215,1026,173
148,0,39977,Max Homa,20.89%,297,1422,159
149,0,25493,Nick Taylor,20.80%,322,1548,152
150,0,49960,Sepp Straka,20.71%,287,1386,92
151,0,26476,Chez Reavie,20.68%,268,1296,50
152,0,22405,Justin Rose,20.67%,227,1098,167
153,0,30927,Brendon Todd,20.59%,367,1782,171
154,0,40115,Adam Svensson,20.56%,396,1926,91
155,0,48699,Callum Tarren,20.55%,270,1314,107
156,0,31646,Emiliano Grillo,20.52%,314,1530,129
157,0,52372,Cameron Champ,20.46%,221,1080,67
158,0,26596,Ryan Moore,20.44%,276,1350,55
159,0,54628,Lee Hodges,20.39%,345,1692,74
160,0,47679,Victor Perez,20.37%,264,1296,61
161,0,22371,Aaron Baddeley,20.32%,278,1368,165
162,0,51890,Greyson Sigg,20.28%,292,1440,11
163,0,30911,Tommy Fleetwood,20.27%,259,1278,94
164,0,29221,Webb Simpson,20.26%,186,918,180
165,0,23320,Ryan Palmer,20.00%,162,810,168
166,0,55708,Hayden Buckley,19.97%,266,1332,132
167,0,23108,Matt Kuchar,19.96%,273,1368,106
168,0,27770,Camilo Villegas,19.95%,219,1098,112
169,0,40058,Zac Blair,19.83%,307,1548,102
170,0,52453,Nicolai Højgaard,19.79%,203,1026,146
171,0,34374,Erik Barnes,19.73%,206,1044,181
172,0,27330,Josh Teater,19.60%,194,990,64
173,0,36871,Matt NeSmith,19.59%,268,1368,20
174,0,27649,Brandt Snedeker,19.58%,215,1098,161
175,0,47483,Will Zalatoris,19.52%,246,1260,141
176,0,45609,Tyler Duncan,19.44%,259,1332,90
177,0,34466,Peter Malnati,19.37%,272,1404,182
178,0,59442,Parker Coody,19.35%,202,1044,122
179,0,48119,Ben Taylor,19.15%,224,1170,159
180,0,28420,Ryan Brehm,19.14%,217,1134,119
181,0,35617,Martin Trainer,18.67%,168,900,178
182,0,29478,Kevin Kisner,18.32%,188,1026,176
183,0,47806,Raul Pereda,17.22%,155,900,184
184,0,51070,Vincent Norrman,16.89%,149,882,70
