RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,59836,Pierceson Coody,4.42,734,166
2,0,46046,Scottie Scheffler,4.44,1084,244
3,0,48081,Xander Schauffele,4.46,857,192
4,0,47420,Jake Knapp,4.47,1136,254
5,0,52453,Nicolai Højgaard,4.48,725,162
5,0,48117,Kurt Kitayama,4.48,968,216
5,0,28237,Rory McIlroy,4.48,771,172
8,0,66743,Luke Clanton,4.49,826,184
8,0,57586,Jesper Svensson,4.49,1258,280
10,0,49960,Sepp Straka,4.50,1072,238
10,0,57364,Michael Thorbjornsen,4.50,1188,264
10,0,51894,Vince Whaley,4.50,1413,314
13,0,51696,Rico Hoey,4.51,1398,310
13,0,33413,Ben Martin,4.51,776,172
13,0,39546,Keith Mitchell,4.51,1182,262
13,0,48887,Matt Wallace,4.51,1106,245
17,0,54591,Ben Griffin,4.52,1455,322
17,0,57975,Harry Hall,4.52,1285,284
17,0,49947,Taylor Moore,4.52,1193,264
17,0,40250,Taylor Pendrith,4.52,1112,246
17,0,24502,Adam Scott,4.52,932,206
22,0,34255,Joseph Bramlett,4.53,688,152
22,0,40098,Matt Fitzpatrick,4.53,1041,230
22,0,54421,Garrick Higgo,4.53,724,160
22,0,36326,David Lipsky,4.53,1188,262
22,0,51950,Max McGreevy,4.53,1295,286
22,0,45242,Kevin Yu,4.53,1332,294
28,0,57123,Steven Fisk,4.54,1198,264
28,0,54628,Lee Hodges,4.54,1081,238
28,0,37455,Si Woo Kim,4.54,1372,302
28,0,52215,Robert MacIntyre,4.54,1071,236
28,0,33968,Thorbjørn Olesen,4.54,1118,246
28,0,23320,Ryan Palmer,4.54,818,180
28,0,46414,Aaron Rai,4.54,1026,226
28,0,50484,Hayden Springer,4.54,1071,236
36,0,55708,Hayden Buckley,4.55,891,196
36,0,30911,Tommy Fleetwood,4.55,1038,228
36,0,59095,Chris Gotterup,4.55,1256,276
36,0,51977,Max Greyserman,4.55,1347,296
36,0,39971,Sungjae Im,4.55,1320,290
36,0,51997,Andrew Novak,4.55,1210,266
36,0,34046,Jordan Spieth,4.55,955,210
43,0,52955,Ludvig Åberg,4.56,957,210
43,0,56762,Will Gordon,4.56,912,200
43,0,35706,Niklas Norgaard,4.56,830,182
43,0,46646,Antoine Rozner,4.56,1132,248
43,0,48867,Matti Schmid,4.56,1258,276
43,0,60019,Jackson Suber,4.56,1075,236
43,0,58168,Davis Thompson,4.56,1332,292
43,0,35658,Kris Ventura,4.56,1250,274
51,0,47504,Sam Burns,4.57,1335,292
51,0,51766,Wyndham Clark,4.57,1169,256
51,0,52375,Doug Ghim,4.57,1271,278
51,0,46717,Viktor Hovland,4.57,904,198
51,0,34587,Chan Kim,4.57,1216,266
51,0,55789,Taylor Montgomery,4.57,959,210
51,0,46601,Trey Mullinax,4.57,1042,228
51,0,47995,Davis Riley,4.57,1225,268
51,0,22405,Justin Rose,4.57,831,182
51,0,39335,Kevin Roy,4.57,1270,278
51,0,46340,Alex Smalley,4.57,1224,268
51,0,57366,Cameron Young,4.57,1224,268
63,0,49453,Trevor Cone,4.58,999,218
63,0,51349,Nico Echavarria,4.58,1273,278
63,0,29936,Ryan Fox,4.58,952,208
63,0,36801,Mark Hubbard,4.58,1373,300
63,0,59141,Matt McCarty,4.58,1228,268
63,0,38991,Alejandro Tosti,4.58,806,176
69,0,55165,Noah Goodwin,4.59,1084,236
69,0,34098,Russell Henley,4.59,1000,218
69,0,35461,Beau Hossler,4.59,1376,300
69,0,32757,Patton Kizzire,4.59,977,213
69,0,32839,Hideki Matsuyama,4.59,1167,254
69,0,46442,Maverick McNealy,4.59,1321,288
69,0,47679,Victor Perez,4.59,1194,260
69,0,28252,Seamus Power,4.59,1220,266
69,0,47347,Adam Schenk,4.59,1120,244
69,0,39324,J.J. Spaun,4.59,1280,279
69,0,40115,Adam Svensson,4.59,1174,256
69,0,33448,Justin Thomas,4.59,1185,258
69,0,52666,Sami Valimaki,4.59,1275,278
69,0,40006,Erik van Rooyen,4.59,983,214
83,0,59440,Ricky Castillo,4.60,1196,260
83,0,34099,Harris English,4.60,1223,266
83,0,32102,Rickie Fowler,4.60,1071,233
83,0,31646,Emiliano Grillo,4.60,1319,287
83,0,51287,Ryo Hisatsune,4.60,1351,294
83,0,52686,Rasmus Højgaard,4.60,929,202
83,0,47056,Rikuya Hoshino,4.60,828,180
83,0,39975,Michael Kim,4.60,1342,292
83,0,27129,Luke List,4.60,1109,241
83,0,50525,Collin Morikawa,4.60,1086,236
83,0,34256,Andrew Putnam,4.60,1192,259
83,0,47983,Chad Ramey,4.60,1269,276
83,0,36699,Patrick Rodgers,4.60,1409,306
83,0,60882,Thomas Rosenmueller,4.60,1160,252
83,0,39327,Ben Silverman,4.60,1030,224
83,0,54304,Karl Vilips,4.60,864,188
83,0,54607,Danny Walker,4.60,1057,230
83,0,50474,Tim Widing,4.60,717,156
101,0,33141,Keegan Bradley,4.61,1143,248
101,0,39997,Corey Conners,4.61,1171,254
101,0,34076,Joel Dahmen,4.61,1124,244
101,0,28089,Jason Day,4.61,913,198
101,0,35532,Tom Hoge,4.61,1366,296
101,0,47917,Takumi Kanaya,4.61,1198,260
101,0,28775,Nate Lashley,4.61,784,170
101,0,37378,Min Woo Lee,4.61,958,208
101,0,40162,Justin Lower,4.61,1190,258
101,0,59143,Mac Meissner,4.61,1226,266
101,0,50582,Jeremy Paul,4.61,1124,244
101,0,51890,Greyson Sigg,4.61,1170,254
101,0,27649,Brandt Snedeker,4.61,1052,228
101,0,25493,Nick Taylor,4.61,1135,246
115,0,40058,Zac Blair,4.62,877,190
