RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,54421,Garrick Higgo,2.91,548,188
2,0,51894,Vince Whaley,2.96,1191,402
3,0,51349,Nico Echavarria,2.97,1068,360
3,0,46646,Antoine Rozner,2.97,937,316
5,0,54591,Ben Griffin,2.98,1271,426
5,0,57975,Harry Hall,2.98,1157,388
5,0,33968,Thorbjørn Olesen,2.98,971,326
5,0,47983,Chad Ramey,2.98,1020,342
5,0,46046,Scottie Scheffler,2.98,976,328
10,0,56630,Akshay Bhatia,2.99,1039,348
10,0,25900,Lucas Glover,2.99,910,304
10,0,34098,Russell Henley,2.99,850,284
10,0,52453,Nicolai Højgaard,2.99,645,216
10,0,47917,Takumi Kanaya,2.99,982,328
10,0,34587,Chan Kim,2.99,999,334
10,0,47993,Denny McCarthy,2.99,1048,350
10,0,59141,Matt McCarty,2.99,1039,348
10,0,50525,Collin Morikawa,2.99,891,298
10,0,37275,Sam Ryder,2.99,1076,360
20,0,35310,Lanto Griffin,3.00,877,292
20,0,35461,Beau Hossler,3.00,1140,380
20,0,33204,Shane Lowry,3.00,852,284
20,0,28237,Rory McIlroy,3.00,721,240
20,0,34256,Andrew Putnam,3.00,995,332
20,0,48867,Matti Schmid,3.00,1081,360
20,0,49960,Sepp Straka,3.00,924,308
20,0,45242,Kevin Yu,3.00,1141,380
28,0,40058,Zac Blair,3.01,734,244
28,0,47591,Eric Cole,3.01,1288,428
28,0,54628,Lee Hodges,3.01,945,314
28,0,33413,Ben Martin,3.01,663,220
28,0,32839,Hideki Matsuyama,3.01,1011,336
28,0,57900,Chandler Phillips,3.01,988,328
28,0,28252,Seamus Power,3.01,1007,334
28,0,22405,Justin Rose,3.01,711,236
28,0,39324,J.J. Spaun,3.01,1108,368
37,0,60004,Jacob Bridgeman,3.02,1177,390
37,0,47504,Sam Burns,3.02,1142,378
37,0,57362,Austin Eckroat,3.02,1022,338
37,0,59095,Chris Gotterup,3.02,1112,368
37,0,51287,Ryo Hisatsune,3.02,1141,378
37,0,52215,Robert MacIntyre,3.02,1014,336
37,0,59143,Mac Meissner,3.02,1032,342
37,0,63121,William Mouw,3.02,893,296
37,0,40115,Adam Svensson,3.02,986,326
37,0,25493,Nick Taylor,3.02,998,330
37,0,52666,Sami Valimaki,3.02,1064,352
37,0,52513,Carson Young,3.02,948,314
49,0,45157,Cam Davis,3.03,769,254
49,0,59866,Nick Dunlap,3.03,891,294
49,0,40098,Matt Fitzpatrick,3.03,897,296
49,0,32102,Rickie Fowler,3.03,944,312
49,0,29535,Brice Garnett,3.03,819,270
49,0,59018,Ryan Gerard,3.03,1226,404
49,0,51696,Rico Hoey,3.03,1223,404
49,0,36884,Ben Kohles,3.03,1043,344
49,0,50582,Jeremy Paul,3.03,926,306
49,0,47347,Adam Schenk,3.03,944,312
49,0,27649,Brandt Snedeker,3.03,872,288
49,0,50484,Hayden Springer,3.03,898,296
49,0,60019,Jackson Suber,3.03,934,308
49,0,57364,Michael Thorbjornsen,3.03,1019,336
49,0,31323,Gary Woodland,3.03,944,312
64,0,58605,Quade Cummins,3.04,997,328
64,0,34099,Harris English,3.04,1094,360
64,0,31646,Emiliano Grillo,3.04,1157,380
64,0,33399,Adam Hadwin,3.04,1064,350
64,0,46717,Viktor Hovland,3.04,802,264
64,0,36801,Mark Hubbard,3.04,1174,386
64,0,35506,Mackenzie Hughes,3.04,1099,362
64,0,24024,Zach Johnson,3.04,607,200
64,0,23108,Matt Kuchar,3.04,833,274
64,0,34466,Peter Malnati,3.04,778,256
64,0,33199,Matteo Manassero,3.04,669,220
64,0,55789,Taylor Montgomery,3.04,821,270
64,0,49947,Taylor Moore,3.04,1010,332
64,0,35706,Niklas Norgaard,3.04,736,242
64,0,30163,Henrik Norlander,3.04,1075,354
64,0,40250,Taylor Pendrith,3.04,1008,332
64,0,47679,Victor Perez,3.04,1045,344
64,0,36824,Paul Peterson,3.04,797,262
64,0,36699,Patrick Rodgers,3.04,1209,398
64,0,60882,Thomas Rosenmueller,3.04,962,316
64,0,51890,Greyson Sigg,3.04,960,316
64,0,35658,Kris Ventura,3.04,1051,346
86,0,33141,Keegan Bradley,3.05,964,316
86,0,34255,Joseph Bramlett,3.05,567,186
86,0,34076,Joel Dahmen,3.05,940,308
86,0,54576,Patrick Fishburn,3.05,1073,352
86,0,52375,Doug Ghim,3.05,1066,350
86,0,36799,Stephan Jaeger,3.05,1110,364
86,0,45523,Thriston Lawrence,3.05,665,218
86,0,36326,David Lipsky,3.05,1019,334
86,0,51950,Max McGreevy,3.05,1123,368
86,0,49771,J.T. Poston,3.05,1121,368
86,0,39335,Kevin Roy,3.05,1074,352
86,0,55893,Sam Stevens,3.05,1348,442
86,0,51634,Sahith Theegala,3.05,914,300
86,0,33448,Justin Thomas,3.05,989,324
86,0,54304,Karl Vilips,3.05,774,254
101,0,52370,Mason Andersen,3.06,833,272
101,0,39997,Corey Conners,3.06,1004,328
101,0,27644,Brian Harman,3.06,1089,356
101,0,39977,Max Homa,3.06,869,284
101,0,47056,Rikuya Hoshino,3.06,655,214
101,0,37455,Si Woo Kim,3.06,1207,394
101,0,48117,Kurt Kitayama,3.06,917,300
101,0,46601,Trey Mullinax,3.06,874,286
101,0,55623,Kaito Onishi,3.06,747,244
101,0,59160,John Pak,3.06,954,312
101,0,63343,Aldrich Potgieter,3.06,692,226
101,0,56781,Isaiah Salinda,3.06,913,298
101,0,46340,Alex Smalley,3.06,1077,352
101,0,57586,Jesper Svensson,3.06,1139,372
101,0,58168,Davis Thompson,3.06,1103,360
116,0,46443,Brian Campbell,3.07,847,276
116,0,35450,Patrick Cantlay,3.07,895,292
116,0,49590,Frankie Capan III,3.07,871,284
116,0,34021,Bud Cauley,3.07,920,300
116,0,51766,Wyndham Clark,3.07,1006,328
116,0,29725,Tony Finau,3.07,873,284
116,0,30911,Tommy Fleetwood,3.07,932,304
116,0,29936,Ryan Fox,3.07,904,294
116,0,51977,Max Greyserman,3.07,1128,368
116,0,33597,Harry Higgs,3.07,1030,336
116,0,30926,Chris Kirk,3.07,947,308
116,0,46442,Maverick McNealy,3.07,1165,380
116,0,39546,Keith Mitchell,3.07,1055,344
116,0,27139,David Skinns,3.07,947,308
116,0,40006,Erik van Rooyen,3.07,854,278
131,0,52955,Ludvig Åberg,3.08,850,276
131,0,59836,Pierceson Coody,3.08,652,212
131,0,28089,Jason Day,3.08,763,248
131,0,51690,Taylor Dickson,3.08,850,276
131,0,56762,Will Gordon,3.08,783,254
131,0,47988,Nick Hardy,3.08,794,258
131,0,52686,Rasmus Højgaard,3.08,839,272
131,0,32757,Patton Kizzire,3.08,812,264
131,0,47420,Jake Knapp,3.08,981,318
131,0,37378,Min Woo Lee,3.08,813,264
131,0,24502,Adam Scott,3.08,814,264
131,0,27064,Jhonattan Vegas,3.08,887,288
131,0,27770,Camilo Villegas,3.08,882,286
131,0,54607,Danny Walker,3.08,868,282
131,0,57366,Cameron Young,3.08,1067,346
146,0,45522,Christiaan Bezuidenhout,3.09,1093,354
146,0,66743,Luke Clanton,3.09,742,240
146,0,49453,Trevor Cone,3.09,877,284
146,0,39859,Cristobal Del Solar,3.09,847,274
146,0,39971,Sungjae Im,3.09,1194,386
146,0,28775,Nate Lashley,3.09,685,222
146,0,51997,Andrew Novak,3.09,1131,366
146,0,64693,Matthew Riedel,3.09,840,272
146,0,48081,Xander Schauffele,3.09,790,256
146,0,52144,Braden Thornberry,3.09,779,252
146,0,38991,Alejandro Tosti,3.09,679,220
146,0,48887,Matt Wallace,3.09,996,322
158,0,33948,Byeong Hun An,3.10,1139,368
158,0,40026,Daniel Berger,3.10,992,320
158,0,59440,Ricky Castillo,3.10,1024,330
158,0,58933,Will Chandler,3.10,954,308
158,0,57123,Steven Fisk,3.10,1034,334
158,0,60067,Joe Highsmith,3.10,1040,336
158,0,40162,Justin Lower,3.10,1012,326
158,0,48153,Matthieu Pavon,3.10,1023,330
158,0,39327,Ben Silverman,3.10,924,298
158,0,58619,Kevin Velo,3.10,832,268
168,0,33653,Thomas Detry,3.11,1044,336
168,0,55165,Noah Goodwin,3.11,913,294
168,0,55182,Tom Kim,3.11,1082,348
171,0,35532,Tom Hoge,3.12,1141,366
171,0,39975,Michael Kim,3.12,1237,396
171,0,27129,Luke List,3.12,947,304
171,0,47995,Davis Riley,3.12,1088,349
171,0,34046,Jordan Spieth,3.12,860,276
176,0,55708,Hayden Buckley,3.13,745,238
176,0,50474,Tim Widing,3.13,595,190
178,0,32070,Rafael Campos,3.14,1012,322
179,0,46414,Aaron Rai,3.16,928,294
180,0,23320,Ryan Palmer,3.32,756,228
